sender,subject,body,label
"Manager","URGENT: Submit report","Submit within 2 hours","high"
"HR Team","Meeting reminder","Meeting at 3 PM","medium"
"Marketing","Sale offer","Flat 50% discount","low"
"IT Support","Server down","Fix immediately","high"
"Newsletter","Weekly newsletter","Updates of the week","low"
"CEO","Immediate attention required","Call me ASAP","high"
"Team Lead","Project update","Send progress by EOD","medium"
"E-commerce","Big sale today","Up to 70% off on products","low"
"Admin","Password reset","Reset your password within 24 hours","medium"
"Security","Unauthorized login detected","Verify your account now","high"
"Colleague","Lunch plan","Let's have lunch at 1 PM","low"
"Finance","Invoice due","Payment due by tomorrow","high"
"HR Team","Policy update","New leave policy attached","medium"
"Support","Ticket resolved","Your issue has been resolved","low"
"Manager","Deadline reminder","Complete task by tonight","high"
"Client","Feedback required","Please review the document","medium"
"Shopping App","Exclusive deal","Buy one get one free","low"
"IT Support","System maintenance","Scheduled at midnight","medium"
"Bank","Transaction alert","Large debit detected","high"
"Newsletter","Monthly digest","Top updates this month","low"
"Professor","Assignment submission","Submit before deadline","high"
"Friend","Weekend plan","Trip this Saturday?","low"
"HR Team","Interview schedule","Your interview is at 10 AM","medium"
"Cloud Service","Storage alert","Your storage is almost full","medium"
"Security","Password expired","Change your password immediately","high"
"E-commerce","Flash sale","Limited time offer","low"
"Team Lead","Code review","Review pending PRs","medium"
"Admin","System alert","High CPU usage detected","high"
"Travel Agency","Holiday offer","Discount on travel packages","low"
"Finance","Salary credited","Your salary has been credited","low"
"Manager","Urgent meeting","Join meeting immediately","high"
"Colleague","Quick question","Can you check this file?","medium"
"Support","Service feedback","Rate your recent experience","low"
"Security","Suspicious activity","Account temporarily locked","high"
"Admin","System reboot","Server restarting tonight","medium"
"Marketing","New arrivals","Check out latest products","low"
"Client","Contract approval","Approve contract today","high"
"HR Team","Training session","Attend training tomorrow","medium"
"Shopping App","Limited deal","Hurry up! Offer ends soon","low"
"Bank","OTP request","Do not share this OTP","high"
"Team Lead","Sprint planning","Planning meeting at 11 AM","medium"
"Newsletter","Daily updates","Today's highlights","low"
"IT Support","Critical bug","Fix required urgently","high"
"Friend","Movie night","Watch movie tonight?","low"
"Finance","Tax submission","Submit documents urgently","high"
"Admin","Network issue","Slow connectivity reported","medium"
"E-commerce","Cart reminder","Items left in cart","low"
"Security","Data breach alert","Immediate action required","high"
"Manager","Status update","Share weekly report","medium"
"Support","Subscription renewal","Renew your plan","low"
"Professor","Exam reminder","Exam tomorrow","high"
"Colleague","File sharing","Shared document link","low"
"HR Team","Offer letter","Review and accept offer","high"
"Marketing","Festival sale","Special discounts available","low"
"IT Support","System failure","Critical error detected","high"
"Client","Meeting follow-up","Next steps discussion","medium"
"Travel Agency","Booking confirmation","Your trip is confirmed","low"
"Admin","Backup completed","System backup successful","low"
"Security","Account verification","Verify identity now","high"
"Finance","Payment received","We received your payment","low"
"Manager","Urgent deadline","Finish task within hours","high"
"Colleague","Reminder","Don't forget meeting","medium"
"Shopping App","Weekend sale","Extra discount this weekend","low"
"Support","Issue escalation","Escalated to higher team","high"
"Cloud Service","Downtime alert","Service interruption expected","medium"
"Newsletter","Tech news","Latest in tech world","low"
"Bank","Fraud alert","Unusual activity detected","high"
"Team Lead","Daily standup","Meeting at 9 AM","medium"
"Friend","Birthday invite","Join party tonight","low"
"HR Team","Document verification","Submit documents","medium"
"Marketing","Promo code","Use code SAVE20","low"
"IT Support","Security patch","Install update now","high"
"Client","Urgent requirement","Need deliverable today","high"
"Admin","Server load","Usage increased","medium"
"E-commerce","Flash discount","Limited stock available","low"
"Security","Login attempt","Unknown login blocked","high"
"Finance","Reminder notice","Pending payment alert","high"
"Colleague","Discussion","Let's discuss later","low"
"Professor","Project review","Present tomorrow","high"
"Support","Case update","Working on your issue","medium"
"Newsletter","Weekly insights","Market trends","low"
"Manager","Critical task","Immediate completion needed","high"
"HR Team","Onboarding","Welcome to the company","medium"
"Shopping App","Mega sale","Huge discounts","low"
"Bank","Account alert","Balance below minimum","medium"
"IT Support","Hardware issue","Replace component urgently","high"
"Client","Feedback received","Thanks for your work","low"
"Admin","Maintenance alert","Routine maintenance","medium"
"Security","Password alert","Weak password detected","high"
"Finance","Budget update","New budget approved","medium"
"Colleague","Greetings","Good morning!","low"
"Marketing","Campaign launch","New campaign live","medium"
"Travel Agency","Trip reminder","Pack your bags","low"
"Support","Closure notice","Ticket closed","low"
"Cloud Service","Upgrade available","Upgrade your plan","medium"